#,Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,First_pokemon,Second_pokemon,Total Fights,Win Percentage
537,538,Uxie,Psychic,,75,75,130,75,130,95,4,True,92,92,123,0.7479674796747967
538,539,Mesprit,Psychic,,80,105,105,105,105,80,4,True,79,79,133,0.5939849624060151
539,540,Azelf,Psychic,,75,125,70,125,70,115,4,True,122,122,135,0.9037037037037037
540,541,Dialga,Steel,Dragon,100,120,120,150,100,90,4,True,119,119,151,0.7880794701986755
541,542,Palkia,Water,Dragon,90,120,100,150,120,100,4,True,115,115,149,0.7718120805369127
542,543,Heatran,Fire,Steel,91,90,106,130,106,77,4,True,85,85,131,0.648854961832061
543,544,Regigigas,Normal,,110,160,110,80,110,100,4,True,122,122,142,0.8591549295774648
544,545,Giratina Altered Forme,Ghost,Dragon,150,100,120,100,120,90,4,True,74,74,111,0.6666666666666666
545,546,Giratina Origin Forme,Ghost,Dragon,150,120,100,120,100,90,4,True,89,89,134,0.664179104477612
546,547,Cresselia,Psychic,,120,70,120,75,130,85,4,False,79,79,118,0.6694915254237288
547,548,Phione,Water,,80,80,80,80,80,80,4,False,74,74,132,0.5606060606060606
548,549,Manaphy,Water,,100,100,100,100,100,100,4,False,118,118,134,0.8805970149253731
549,550,Darkrai,Dark,,70,90,90,135,90,125,4,True,110,110,117,0.9401709401709402
550,551,Shaymin Land Forme,Grass,,100,100,100,100,100,100,4,True,117,117,136,0.8602941176470589
551,552,Shaymin Sky Forme,Grass,Flying,100,103,75,120,75,127,4,True,111,111,118,0.940677966101695
552,553,Arceus,Normal,,120,120,120,120,120,120,4,True,114,114,122,0.9344262295081968
553,554,Victini,Psychic,Fire,100,100,100,100,100,100,5,True,115,115,131,0.8778625954198473
554,555,Snivy,Grass,,45,45,55,45,55,63,5,False,51,51,111,0.4594594594594595
556,557,Serperior,Grass,,75,75,95,75,95,113,5,False,119,119,132,0.9015151515151515
557,558,Tepig,Fire,,65,63,45,45,45,45,5,False,34,34,131,0.2595419847328244
558,559,Pignite,Fire,Fighting,90,93,55,70,55,55,5,False,55,55,144,0.3819444444444444
559,560,Emboar,Fire,Fighting,110,123,65,100,65,65,5,False,72,72,138,0.5217391304347826
560,561,Oshawott,Water,,55,55,45,63,45,45,5,False,31,31,124,0.25
561,562,Dewott,Water,,75,75,60,83,60,60,5,False,48,48,122,0.39344262295081966
562,563,Samurott,Water,,95,100,85,108,70,70,5,False,65,65,115,0.5652173913043478
563,564,Patrat,Normal,,45,55,39,35,39,42,5,False,25,25,135,0.18518518518518517
564,565,Watchog,Normal,,60,85,69,60,69,77,5,False,69,69,133,0.518796992481203
565,566,Lillipup,Normal,,45,60,45,25,45,55,5,False,29,29,100,0.29
566,567,Herdier,Normal,,65,80,65,35,65,60,5,False,53,53,138,0.38405797101449274
567,568,Stoutland,Normal,,85,110,90,45,90,80,5,False,72,72,116,0.6206896551724138
568,569,Purrloin,Dark,,41,50,37,50,37,66,5,False,59,59,114,0.5175438596491229
569,570,Liepard,Dark,,64,88,50,88,50,106,5,False,123,123,135,0.9111111111111111
570,571,Pansage,Grass,,50,53,48,53,48,64,5,False,53,53,130,0.4076923076923077
571,572,Simisage,Grass,,75,98,63,98,63,101,5,False,106,106,131,0.8091603053435115
572,573,Pansear,Fire,,50,53,48,53,48,64,5,False,60,60,130,0.46153846153846156
573,574,Simisear,Fire,,75,98,63,98,63,101,5,False,113,113,127,0.889763779527559
574,575,Panpour,Water,,50,53,48,53,48,64,5,False,42,42,117,0.358974358974359
575,576,Simipour,Water,,75,98,63,98,63,101,5,False,113,113,133,0.849624060150376
576,577,Munna,Psychic,,76,25,45,67,55,24,5,False,5,5,128,0.0390625
577,578,Musharna,Psychic,,116,55,85,107,95,29,5,False,9,9,132,0.06818181818181818
578,579,Pidove,Normal,Flying,50,55,50,36,30,43,5,False,45,45,154,0.2922077922077922
579,580,Tranquill,Normal,Flying,62,77,62,50,42,65,5,False,60,60,124,0.4838709677419355
580,581,Unfezant,Normal,Flying,80,115,80,65,55,93,5,False,102,102,130,0.7846153846153846
581,582,Blitzle,Electric,,45,60,32,50,32,76,5,False,80,80,135,0.5925925925925926
582,583,Zebstrika,Electric,,75,100,63,80,63,116,5,False,100,100,107,0.9345794392523364
583,584,Roggenrola,Rock,,55,75,85,25,25,15,5,False,27,27,144,0.1875
584,585,Boldore,Rock,,70,105,105,50,40,20,5,False,44,44,131,0.33587786259541985
585,586,Gigalith,Rock,,85,135,130,60,80,25,5,False,60,60,148,0.40540540540540543
586,587,Woobat,Psychic,Flying,55,45,43,55,43,72,5,False,72,72,123,0.5853658536585366
587,588,Swoobat,Psychic,Flying,67,57,55,77,55,114,5,False,103,103,116,0.8879310344827587
588,589,Drilbur,Ground,,60,85,40,30,45,68,5,False,70,70,109,0.6422018348623854
589,590,Excadrill,Ground,Steel,110,135,60,50,65,88,5,False,103,103,133,0.7744360902255639
590,591,Audino,Normal,,103,60,86,60,86,50,5,False,46,46,133,0.3458646616541353
591,592,Mega Audino,Normal,Fairy,103,60,126,80,126,50,5,False,48,48,132,0.36363636363636365
592,593,Timburr,Fighting,,75,80,55,25,35,35,5,False,28,28,150,0.18666666666666668
593,594,Gurdurr,Fighting,,85,105,85,40,50,40,5,False,25,25,118,0.211864406779661
594,595,Conkeldurr,Fighting,,105,140,95,55,65,45,5,False,39,39,130,0.3
595,596,Tympole,Water,,50,50,40,50,40,64,5,False,62,62,136,0.45588235294117646
596,597,Palpitoad,Water,Ground,75,65,55,65,55,69,5,False,54,54,124,0.43548387096774194
597,598,Seismitoad,Water,Ground,105,95,75,85,75,74,5,False,68,68,119,0.5714285714285714
598,599,Throh,Fighting,,120,100,85,30,85,45,5,False,33,33,147,0.22448979591836735
599,600,Sawk,Fighting,,75,125,75,30,75,85,5,False,85,85,136,0.625
600,601,Sewaddle,Bug,Grass,45,53,70,40,60,42,5,False,35,35,136,0.25735294117647056
601,602,Swadloon,Bug,Grass,55,63,90,50,80,42,5,False,26,26,123,0.21138211382113822
602,603,Leavanny,Bug,Grass,75,103,80,70,80,92,5,False,96,96,121,0.7933884297520661
603,604,Venipede,Bug,Poison,30,45,59,30,39,57,5,False,37,37,132,0.2803030303030303
604,605,Whirlipede,Bug,Poison,40,55,99,40,79,47,5,False,26,26,99,0.26262626262626265
605,606,Scolipede,Bug,Poison,60,100,89,55,69,112,5,False,106,106,114,0.9298245614035088
606,607,Cottonee,Grass,Fairy,40,27,60,37,50,66,5,False,46,46,127,0.36220472440944884
607,608,Whimsicott,Grass,Fairy,60,67,85,77,75,116,5,False,104,104,117,0.8888888888888888
608,609,Petilil,Grass,,45,35,50,70,50,30,5,False,23,23,146,0.15753424657534246
609,610,Lilligant,Grass,,70,60,75,110,75,90,5,False,91,91,127,0.7165354330708661
610,611,Basculin,Water,,70,92,65,80,55,98,5,False,89,89,110,0.8090909090909091
611,612,Sandile,Ground,Dark,50,72,35,35,35,65,5,False,72,72,134,0.5373134328358209
612,613,Krokorok,Ground,Dark,60,82,45,45,45,74,5,False,65,65,113,0.5752212389380531
613,614,Krookodile,Ground,Dark,95,117,80,65,70,92,5,False,111,111,132,0.8409090909090909
614,615,Darumaka,Fire,,70,90,45,15,45,50,5,False,45,45,124,0.3629032258064516
615,616,Darmanitan Standard Mode,Fire,,105,140,55,30,55,95,5,False,109,109,133,0.8195488721804511
616,617,Darmanitan Zen Mode,Fire,Psychic,105,30,105,140,105,55,5,False,43,43,122,0.3524590163934426
618,619,Dwebble,Bug,Rock,50,65,85,35,35,55,5,False,43,43,132,0.32575757575757575
619,620,Crustle,Bug,Rock,70,95,125,65,75,45,5,False,40,40,119,0.33613445378151263
620,621,Scraggy,Dark,Fighting,50,75,70,35,70,48,5,False,32,32,109,0.29357798165137616
621,622,Scrafty,Dark,Fighting,65,90,115,45,115,58,5,False,61,61,121,0.5041322314049587
622,623,Sigilyph,Psychic,Flying,72,58,80,103,80,97,5,False,109,109,152,0.7171052631578947
623,624,Yamask,Ghost,,38,30,85,55,65,30,5,False,27,27,126,0.21428571428571427
624,625,Cofagrigus,Ghost,,58,50,145,95,105,30,5,False,30,30,122,0.2459016393442623
625,626,Tirtouga,Water,Rock,54,78,103,53,45,22,5,False,30,30,129,0.23255813953488372
626,627,Carracosta,Water,Rock,74,108,133,83,65,32,5,False,45,45,140,0.32142857142857145
627,628,Archen,Rock,Flying,55,112,45,74,45,70,5,False,66,66,118,0.559322033898305
628,629,Archeops,Rock,Flying,75,140,65,112,65,110,5,False,117,117,128,0.9140625
629,630,Trubbish,Poison,,50,50,62,40,62,65,5,False,49,49,117,0.4188034188034188
630,631,Garbodor,Poison,,80,95,82,60,82,75,5,False,87,87,145,0.6
631,632,Zorua,Dark,,40,65,40,80,40,65,5,False,66,66,131,0.5038167938931297
632,633,Zoroark,Dark,,60,105,60,120,60,105,5,False,100,100,113,0.8849557522123894
633,634,Minccino,Normal,,55,50,40,40,40,75,5,False,88,88,148,0.5945945945945946
634,635,Cinccino,Normal,,75,95,60,65,60,115,5,False,115,115,131,0.8778625954198473
635,636,Gothita,Psychic,,45,30,50,55,65,45,5,False,26,26,125,0.208
636,637,Gothorita,Psychic,,60,45,70,75,85,55,5,False,37,37,123,0.3008130081300813
637,638,Gothitelle,Psychic,,70,55,95,95,110,65,5,False,65,65,133,0.48872180451127817
638,639,Solosis,Psychic,,45,30,40,105,50,20,5,False,4,4,129,0.031007751937984496
639,640,Duosion,Psychic,,65,40,50,125,60,30,5,False,9,9,124,0.07258064516129033
640,641,Reuniclus,Psychic,,110,65,75,125,85,30,5,False,18,18,120,0.15
641,642,Ducklett,Water,Flying,62,44,50,44,50,55,5,False,45,45,124,0.3629032258064516
642,643,Swanna,Water,Flying,75,87,63,87,63,98,5,False,103,103,119,0.865546218487395
643,644,Vanillite,Ice,,36,50,50,65,60,44,5,False,18,18,110,0.16363636363636364
644,645,Vanillish,Ice,,51,65,65,80,75,59,5,False,55,55,126,0.4365079365079365
645,646,Vanilluxe,Ice,,71,95,85,110,95,79,5,False,83,83,125,0.664
646,647,Deerling,Normal,Grass,60,60,50,40,50,75,5,False,70,70,119,0.5882352941176471
647,648,Sawsbuck,Normal,Grass,80,100,70,60,70,95,5,False,89,89,120,0.7416666666666667
648,649,Emolga,Electric,Flying,55,75,60,75,60,103,5,False,91,91,114,0.7982456140350878
649,650,Karrablast,Bug,,50,75,45,40,45,60,5,False,53,53,121,0.4380165289256198
650,651,Escavalier,Bug,Steel,70,135,105,60,105,20,5,False,72,72,124,0.5806451612903226
651,652,Foongus,Grass,Poison,69,55,45,55,55,15,5,False,14,14,120,0.11666666666666667
652,653,Amoonguss,Grass,Poison,114,85,70,85,80,30,5,False,25,25,121,0.2066115702479339
653,654,Frillish,Water,Ghost,55,40,50,65,85,40,5,False,42,42,132,0.3181818181818182
655,656,Alomomola,Water,,165,75,80,40,45,65,5,False,68,68,132,0.5151515151515151
656,657,Joltik,Bug,Electric,50,47,50,57,50,65,5,False,64,64,138,0.463768115942029
657,658,Galvantula,Bug,Electric,70,77,60,97,60,108,5,False,115,115,137,0.8394160583941606
658,659,Ferroseed,Grass,Steel,44,50,91,24,86,10,5,False,22,22,111,0.1981981981981982
659,660,Ferrothorn,Grass,Steel,74,94,131,54,116,20,5,False,61,61,136,0.4485294117647059
660,661,Klink,Steel,,40,55,70,45,60,30,5,False,12,12,113,0.10619469026548672
661,662,Klang,Steel,,60,80,95,70,85,50,5,False,27,27,121,0.2231404958677686
662,663,Klinklang,Steel,,60,100,115,70,85,90,5,False,99,99,131,0.7557251908396947
663,664,Tynamo,Electric,,35,55,40,45,40,60,5,False,45,45,126,0.35714285714285715
664,665,Eelektrik,Electric,,65,85,70,75,70,40,5,False,26,26,128,0.203125
665,666,Eelektross,Electric,,85,115,80,105,80,50,5,False,34,34,111,0.3063063063063063
666,667,Elgyem,Psychic,,55,55,55,85,55,30,5,False,21,21,159,0.1320754716981132
667,668,Beheeyem,Psychic,,75,75,75,125,95,40,5,False,21,21,134,0.15671641791044777
668,669,Litwick,Ghost,Fire,50,30,55,65,55,20,5,False,16,16,117,0.13675213675213677
669,670,Lampent,Ghost,Fire,60,40,60,95,60,55,5,False,57,57,135,0.4222222222222222
670,671,Chandelure,Ghost,Fire,60,55,90,145,90,80,5,False,68,68,112,0.6071428571428571
671,672,Axew,Dragon,,46,87,60,30,40,57,5,False,51,51,135,0.37777777777777777
672,673,Fraxure,Dragon,,66,117,70,40,50,67,5,False,59,59,129,0.4573643410852713
673,674,Haxorus,Dragon,,76,147,90,60,70,97,5,False,105,105,127,0.8267716535433071
674,675,Cubchoo,Ice,,55,70,40,60,40,40,5,False,31,31,115,0.26956521739130435
675,676,Beartic,Ice,,95,110,80,70,80,50,5,False,48,48,129,0.37209302325581395
676,677,Cryogonal,Ice,,70,50,30,95,135,105,5,False,119,119,148,0.8040540540540541
677,678,Shelmet,Bug,,50,40,85,40,65,25,5,False,11,11,124,0.08870967741935484
678,679,Accelgor,Bug,,80,70,40,100,60,145,5,False,118,118,128,0.921875
679,680,Stunfisk,Ground,Electric,109,66,84,81,99,32,5,False,29,29,144,0.2013888888888889
680,681,Mienfoo,Fighting,,45,85,50,55,50,65,5,False,66,66,130,0.5076923076923077
681,682,Mienshao,Fighting,,65,125,60,95,60,105,5,False,121,121,131,0.9236641221374046
682,683,Druddigon,Dragon,,77,120,90,60,90,48,5,False,39,39,140,0.2785714285714286
683,684,Golett,Ground,Ghost,59,74,50,35,50,35,5,False,40,40,128,0.3125
684,685,Golurk,Ground,Ghost,89,124,80,55,80,55,5,False,72,72,126,0.5714285714285714
685,686,Pawniard,Dark,Steel,45,85,70,40,40,60,5,False,57,57,109,0.5229357798165137
686,687,Bisharp,Dark,Steel,65,125,100,60,70,70,5,False,86,86,141,0.6099290780141844
687,688,Bouffalant,Normal,,95,110,95,40,95,55,5,False,48,48,119,0.40336134453781514
688,689,Rufflet,Normal,Flying,70,83,50,37,50,60,5,False,41,41,122,0.3360655737704918
689,690,Braviary,Normal,Flying,100,123,75,57,75,80,5,False,108,108,156,0.6923076923076923
690,691,Vullaby,Dark,Flying,70,55,75,45,65,60,5,False,56,56,122,0.45901639344262296
691,692,Mandibuzz,Dark,Flying,110,65,105,55,95,80,5,False,92,92,147,0.6258503401360545
692,693,Heatmor,Fire,,85,97,66,105,66,65,5,False,57,57,121,0.47107438016528924
693,694,Durant,Bug,Steel,58,109,112,48,48,109,5,False,118,118,134,0.8805970149253731
694,695,Deino,Dark,Dragon,52,65,50,45,50,38,5,False,34,34,124,0.27419354838709675
695,696,Zweilous,Dark,Dragon,72,85,70,65,70,58,5,False,57,57,138,0.41304347826086957
696,697,Hydreigon,Dark,Dragon,92,105,90,125,90,98,5,False,106,106,129,0.8217054263565892
697,698,Larvesta,Bug,Fire,55,85,55,50,55,60,5,False,58,58,137,0.4233576642335766
698,699,Volcarona,Bug,Fire,85,60,65,135,105,100,5,False,103,103,137,0.7518248175182481
699,700,Cobalion,Steel,Fighting,91,90,129,90,72,108,5,True,117,117,128,0.9140625
700,701,Terrakion,Rock,Fighting,91,129,90,72,90,108,5,True,105,105,123,0.8536585365853658
701,702,Virizion,Grass,Fighting,91,90,72,90,129,108,5,True,112,112,125,0.896
702,703,Tornadus Incarnate Forme,Flying,,79,115,70,125,80,111,5,True,94,94,111,0.8468468468468469
703,704,Tornadus Therian Forme,Flying,,79,100,80,110,90,121,5,True,121,121,125,0.968
704,705,Thundurus Incarnate Forme,Electric,Flying,79,115,70,125,80,111,5,True,108,108,125,0.864
705,706,Thundurus Therian Forme,Electric,Flying,79,105,70,145,80,101,5,True,99,99,115,0.8608695652173913
706,707,Reshiram,Dragon,Fire,100,120,100,150,120,90,5,True,91,91,125,0.728
707,708,Zekrom,Dragon,Electric,100,150,120,120,100,90,5,True,100,100,154,0.6493506493506493
708,709,Landorus Incarnate Forme,Ground,Flying,89,125,90,115,80,101,5,True,89,89,102,0.8725490196078431
709,710,Landorus Therian Forme,Ground,Flying,89,145,90,105,80,91,5,True,112,112,131,0.8549618320610687
710,711,Kyurem,Dragon,Ice,125,130,90,130,90,95,5,True,99,99,128,0.7734375
711,712,Kyurem Black Kyurem,Dragon,Ice,125,170,100,120,90,95,5,True,77,77,100,0.77
712,713,Kyurem White Kyurem,Dragon,Ice,125,120,90,170,100,95,5,True,100,100,128,0.78125
713,714,Keldeo Ordinary Forme,Water,Fighting,91,72,90,129,90,108,5,False,100,100,116,0.8620689655172413
714,715,Keldeo Resolute Forme,Water,Fighting,91,72,90,129,90,108,5,False,108,108,121,0.8925619834710744
715,716,Meloetta Aria Forme,Normal,Psychic,100,77,77,128,128,90,5,False,98,98,142,0.6901408450704225
716,717,Meloetta Pirouette Forme,Normal,Fighting,100,128,90,77,77,128,5,False,118,118,123,0.959349593495935
717,718,Genesect,Bug,Steel,71,120,95,120,95,99,5,False,105,105,128,0.8203125
718,719,Chespin,Grass,,56,61,65,48,45,38,6,False,26,26,148,0.17567567567567569
719,720,Quilladin,Grass,,61,78,95,56,58,57,6,False,48,48,119,0.40336134453781514
720,721,Chesnaught,Grass,Fighting,88,107,122,74,75,64,6,False,57,57,124,0.4596774193548387
721,722,Fennekin,Fire,,40,45,40,62,60,60,6,False,41,41,121,0.33884297520661155
722,723,Braixen,Fire,,59,59,58,90,70,73,6,False,67,67,115,0.5826086956521739
723,724,Delphox,Fire,Psychic,75,69,72,114,100,104,6,False,104,104,126,0.8253968253968254
724,725,Froakie,Water,,41,56,40,62,44,71,6,False,71,71,125,0.568
725,726,Frogadier,Water,,54,63,52,83,56,97,6,False,107,107,139,0.7697841726618705
726,727,Greninja,Water,Dark,72,95,67,103,71,122,6,False,122,122,127,0.9606299212598425
727,728,Bunnelby,Normal,,38,36,38,32,36,57,6,False,44,44,113,0.3893805309734513
728,729,Diggersby,Normal,Ground,85,56,77,50,77,78,6,False,68,68,128,0.53125
729,730,Fletchling,Normal,Flying,45,50,43,40,38,62,6,False,55,55,136,0.40441176470588236
730,731,Fletchinder,Fire,Flying,62,73,55,56,52,84,6,False,92,92,127,0.7244094488188977
731,732,Talonflame,Fire,Flying,78,81,71,74,69,126,6,False,120,120,132,0.9090909090909091
732,733,Scatterbug,Bug,,38,35,40,27,25,35,6,False,11,11,134,0.08208955223880597
733,734,Spewpa,Bug,,45,22,60,27,30,29,6,False,10,10,133,0.07518796992481203
734,735,Vivillon,Bug,Flying,80,52,50,90,50,89,6,False,80,80,120,0.6666666666666666
735,736,Litleo,Fire,Normal,62,50,58,73,54,72,6,False,55,55,124,0.4435483870967742
736,737,Pyroar,Fire,Normal,86,68,72,109,66,106,6,False,98,98,121,0.8099173553719008
737,738,Flabébé,Fairy,,44,38,39,61,79,42,6,False,34,34,151,0.2251655629139073
738,739,Floette,Fairy,,54,45,47,75,98,52,6,False,48,48,121,0.39669421487603307
739,740,Florges,Fairy,,78,65,68,112,154,75,6,False,76,76,121,0.628099173553719
740,741,Skiddo,Grass,,66,65,48,62,57,52,6,False,46,46,127,0.36220472440944884
741,742,Gogoat,Grass,,123,100,62,97,81,68,6,False,62,62,129,0.4806201550387597
742,743,Pancham,Fighting,,67,82,62,46,48,43,6,False,26,26,118,0.22033898305084745
743,744,Pangoro,Fighting,Dark,95,124,78,69,71,58,6,False,46,46,123,0.37398373983739835
744,745,Furfrou,Normal,,75,80,60,65,90,102,6,False,113,113,131,0.8625954198473282
745,746,Espurr,Psychic,,62,48,54,63,60,68,6,False,58,58,112,0.5178571428571429
746,747,Meowstic Male,Psychic,,74,48,76,83,81,104,6,False,91,91,115,0.7913043478260869
747,748,Meowstic Female,Psychic,,74,48,76,83,81,104,6,False,93,93,127,0.7322834645669292
748,749,Honedge,Steel,Ghost,45,80,100,35,37,28,6,False,35,35,112,0.3125
749,750,Doublade,Steel,Ghost,59,110,150,45,49,35,6,False,44,44,132,0.3333333333333333
750,751,Aegislash Blade Forme,Steel,Ghost,60,150,50,150,50,60,6,False,64,64,128,0.5
751,752,Aegislash Shield Forme,Steel,Ghost,60,50,150,50,150,60,6,False,63,63,121,0.5206611570247934
752,753,Spritzee,Fairy,,78,52,60,63,65,23,6,False,8,8,133,0.06015037593984962
753,754,Aromatisse,Fairy,,101,72,72,99,89,29,6,False,25,25,129,0.1937984496124031
754,755,Swirlix,Fairy,,62,48,66,59,57,49,6,False,41,41,121,0.33884297520661155
755,756,Slurpuff,Fairy,,82,80,86,85,75,72,6,False,81,81,131,0.6183206106870229
756,757,Inkay,Dark,Psychic,53,54,53,37,46,45,6,False,34,34,110,0.3090909090909091
757,758,Malamar,Dark,Psychic,86,92,88,68,75,73,6,False,108,108,158,0.6835443037974683
758,759,Binacle,Rock,Water,42,52,67,39,56,50,6,False,37,37,129,0.2868217054263566
759,760,Barbaracle,Rock,Water,72,105,115,54,86,68,6,False,69,69,134,0.5149253731343284
760,761,Skrelp,Poison,Water,50,60,60,60,60,30,6,False,14,14,124,0.11290322580645161
761,762,Dragalge,Poison,Dragon,65,75,90,97,123,44,6,False,31,31,156,0.1987179487179487
762,763,Clauncher,Water,,50,53,62,58,63,44,6,False,17,17,124,0.13709677419354838
763,764,Clawitzer,Water,,71,73,88,120,89,59,6,False,64,64,147,0.43537414965986393
764,765,Helioptile,Electric,Normal,44,38,33,61,43,70,6,False,59,59,112,0.5267857142857143
765,766,Heliolisk,Electric,Normal,62,55,52,109,94,109,6,False,94,94,120,0.7833333333333333
766,767,Tyrunt,Rock,Dragon,58,89,77,45,45,48,6,False,34,34,107,0.3177570093457944
767,768,Tyrantrum,Rock,Dragon,82,121,119,69,59,71,6,False,82,82,152,0.5394736842105263
768,769,Amaura,Rock,Ice,77,59,50,67,63,46,6,False,28,28,121,0.23140495867768596
769,770,Aurorus,Rock,Ice,123,77,72,99,92,58,6,False,61,61,132,0.4621212121212121
770,771,Sylveon,Fairy,,95,65,65,110,130,60,6,False,49,49,122,0.4016393442622951
771,772,Hawlucha,Fighting,Flying,78,92,75,74,63,118,6,False,107,107,121,0.8842975206611571
772,773,Dedenne,Electric,Fairy,67,58,57,81,67,101,6,False,109,109,124,0.8790322580645161
773,774,Carbink,Rock,Fairy,50,50,150,50,150,50,6,False,36,36,140,0.2571428571428571
774,775,Goomy,Dragon,,45,50,35,55,75,40,6,False,25,25,117,0.21367521367521367
775,776,Sliggoo,Dragon,,68,75,53,83,113,60,6,False,59,59,130,0.45384615384615384
776,777,Goodra,Dragon,,90,100,70,110,150,80,6,False,64,64,106,0.6037735849056604
777,778,Klefki,Steel,Fairy,57,80,91,80,87,75,6,False,70,70,122,0.5737704918032787
778,779,Phantump,Ghost,Grass,43,70,48,50,60,38,6,False,33,33,138,0.2391304347826087
779,780,Trevenant,Ghost,Grass,85,110,76,65,82,56,6,False,59,59,150,0.3933333333333333
780,781,Pumpkaboo Average Size,Ghost,Grass,49,66,70,44,55,51,6,False,49,49,115,0.4260869565217391
782,783,Pumpkaboo Large Size,Ghost,Grass,54,66,70,44,55,46,6,False,51,51,121,0.4214876033057851
783,784,Pumpkaboo Super Size,Ghost,Grass,59,66,70,44,55,41,6,False,33,33,131,0.25190839694656486
784,785,Gourgeist Average Size,Ghost,Grass,65,90,122,58,75,84,6,False,92,92,128,0.71875
785,786,Gourgeist Small Size,Ghost,Grass,55,85,122,58,75,99,6,False,98,98,121,0.8099173553719008
786,787,Gourgeist Large Size,Ghost,Grass,75,95,122,58,75,69,6,False,71,71,124,0.5725806451612904
787,788,Gourgeist Super Size,Ghost,Grass,85,100,122,58,75,54,6,False,52,52,132,0.3939393939393939
788,789,Bergmite,Ice,,55,69,85,32,35,28,6,False,12,12,129,0.09302325581395349
789,790,Avalugg,Ice,,95,117,184,44,46,28,6,False,36,36,121,0.2975206611570248
790,791,Noibat,Flying,Dragon,40,30,35,45,40,55,6,False,40,40,127,0.31496062992125984
791,792,Noivern,Flying,Dragon,85,70,80,97,80,123,6,False,107,107,115,0.9304347826086956
792,793,Xerneas,Fairy,,126,131,95,131,98,99,6,True,107,107,129,0.8294573643410853
793,794,Yveltal,Dark,Flying,126,131,95,131,98,99,6,True,111,111,137,0.8102189781021898
794,795,Zygarde Half Forme,Dragon,Ground,108,100,121,81,95,95,6,True,80,80,107,0.7476635514018691
795,796,Diancie,Rock,Fairy,50,100,150,100,150,50,6,True,39,39,105,0.37142857142857144
796,797,Mega Diancie,Rock,Fairy,50,160,110,160,110,110,6,True,116,116,131,0.8854961832061069
797,798,Hoopa Confined,Psychic,Ghost,80,110,60,150,130,70,6,True,60,60,119,0.5042016806722689
798,799,Hoopa Unbound,Psychic,Dark,80,160,60,170,130,80,6,True,89,89,144,0.6180555555555556
799,800,Volcanion,Fire,Water,80,110,120,130,90,70,6,True,75,75,121,0.6198347107438017
